Date : 2024-12-07 12:21:34
Directory : c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0
Total : 79 files,  29159 codes, 335 comments, 1150 blanks, all 30644 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\componentes\Certificaciones.js          | JavaScript |         15 |          1 |          3 |         19 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\componentes\Login.js                    | JavaScript |         66 |          6 |         19 |         91 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\componentes\MensajeIngresoDatos.js      | JavaScript |         16 |          0 |          5 |         21 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\componentes\PaginaPrincipal.js          | JavaScript |         86 |          1 |          6 |         93 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\componentes\PieDePagina.js              | JavaScript |         14 |          1 |          3 |         18 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\componentes\RegresarAPP.js              | JavaScript |         13 |          1 |          4 |         18 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\contenedores\AsignarNumero.js           | JavaScript |         89 |          7 |         18 |        114 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\contenedores\BuscarReservasDia.js       | JavaScript |         77 |          8 |         23 |        108 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\contenedores\ConsultarNumero.js         | JavaScript |         90 |          6 |         15 |        111 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\contenedores\EliminarNumero.js          | JavaScript |         56 |          7 |         15 |         78 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\contenedores\ModificarNumero.js         | JavaScript |         87 |          7 |         17 |        111 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\css\componentesComunes.css              | CSS        |         69 |          4 |         14 |         87 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\css\formatoExterno.css                  | CSS        |         30 |          2 |         11 |         43 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\css\formatoInterno.css                  | CSS        |         35 |          6 |          8 |         49 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\css\login.css                           | CSS        |         30 |          3 |          5 |         38 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\css\paginaPrincipal.css                 | CSS        |        138 |         11 |         34 |        183 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\index.css                               | CSS        |         12 |          0 |          2 |         14 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\index.js                                | JavaScript |         13 |          3 |          4 |         20 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\reportWebVitals.js                      | JavaScript |         12 |          0 |          2 |         14 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\reservas\AgregarProductosReserva.js     | JavaScript |        150 |          8 |         23 |        181 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\reservas\CrearReservas.js               | JavaScript |         24 |          1 |          6 |         31 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\reservas\EditarEstado.js                | JavaScript |         58 |          5 |         15 |         78 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\reservas\EditarReservas.js              | JavaScript |         26 |          2 |          5 |         33 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\reservas\EliminarProductosReservas.js   | JavaScript |         78 |          7 |         16 |        101 |
